cardinality	pcs	prime	forte	gilman	binary	decimal	balanced	myhill	palindromic	chiral	deep	has_max_evenness	has_max_area	brightness	variation	stability	cohemitonia	imperfections	contradictions	ambiguities	differences	coherence_quotient	sameness_quotient	generator	area	perimeter	centroid	centroid_distance	centroid_angle_degrees	inverse	complement	fourier_components	structure	vector	proportional_saturation_vector	rot_axes	ref_axes	ridges	propriety
2	(0, 1)	(0, 1)	2-1	C.A.A	000000000011	3	False	True	False	False	False	False	True	1	5.0	1.0	0	2	0	0	1	0	0.0	1	0.0	1.035276180410083	(0.24999999999999997-0.9330127018922194j)	0.9659258262890684	15.0	(0, 11)	(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)	(2.0, 1.931852, 1.732051, 1.414214, 1.0, 0.517638, 0.0)	(1, 11)	(1, 0, 0, 0, 0, 0)	(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)	()	(0.5,)	(1,)	Strictly Proper
2	(0, 2)	(0, 2)	2-2	C.B.A	000000000101	5	False	True	False	False	False	False	True	2	4.0	1.0	0	2	0	0	1	0	0.0	2	0.0	1.9999999999999998	(0.4330127018922193-0.75j)	0.8660254037844386	29.999999999999993	(0, 10)	(0, 1, 2, 3, 4, 5, 6, 7, 8, 10)	(2.0, 1.732051, 1.0, 0.0, 1.0, 1.732051, 2.0)	(2, 10)	(0, 1, 0, 0, 0, 0)	(0.0, 1.0, 0.0, 0.0, 0.0, 0.0)	()	(1.0,)	(2,)	Strictly Proper
3	(0, 1, 2)	(0, 1, 2)	3-1	D.A.A	000000000111	7	False	True	False	False	False	False	False	3	6.0	1.0	1	3	1	0	4	0.0	0.33333333333333337	1	0.0669872981077807	2.035276180410083	(0.45534180126147955-0.788675134594813j)	0.9106836025229591	29.999999999999993	(0, 10, 11)	(0, 1, 2, 3, 4, 5, 6, 7, 8)	(3.0, 2.732051, 2.0, 1.0, 0.0, 0.732051, 1.0)	(1, 1, 10)	(2, 1, 0, 0, 0, 0)	(1.0, 0.5, 0.0, 0.0, 0.0, 0.0)	()	(1.0,)	(2,)	Improper
2	(0, 3)	(0, 3)	2-3	C.C.A	000000001001	9	False	True	False	False	False	False	True	3	3.0	1.0	0	2	0	0	1	0	0.0	3	0.0	2.82842712474619	(0.5-0.5j)	0.7071067811865476	45.0	(0, 9)	(0, 1, 2, 3, 4, 5, 6, 7, 9, 10)	(2.0, 1.414214, 0.0, 1.414214, 2.0, 1.414214, 0.0)	(3, 9)	(0, 0, 1, 0, 0, 0)	(0.0, 0.0, 1.0, 0.0, 0.0, 0.0)	()	(1.5,)	(3,)	Strictly Proper
3	(0, 1, 3)	(0, 1, 3)	3-2A	D.B.A	000000001011	11	False	False	False	True	False	False	False	4	5.333333333333333	1.0	0	3	1	0	6	0.0	0.0	None	0.1830127018922193	2.9318516525781364	(0.5-0.6220084679281462j)	0.7980567236571093	38.79397688699688	(0, 9, 11)	(0, 1, 2, 3, 4, 5, 6, 7, 9)	(3.0, 2.39417, 1.0, 1.0, 1.732051, 1.505971, 1.0)	(1, 2, 9)	(1, 1, 1, 0, 0, 0)	(0.5, 0.5, 0.5, 0.0, 0.0, 0.0)	()	()	()	Improper
3	(0, 2, 3)	(0, 1, 3)	3-2A	D.B.A	000000001101	13	False	False	False	True	False	False	False	5	5.333333333333333	1.0	0	3	1	0	6	0.0	0.0	None	0.1830127018922194	2.9318516525781364	(0.6220084679281462-0.5j)	0.7980567236571093	51.20602311300311	(0, 9, 10)	(0, 1, 2, 3, 4, 5, 6, 7, 9)	(3.0, 2.39417, 1.0, 1.0, 1.732051, 1.505971, 1.0)	(2, 1, 9)	(1, 1, 1, 0, 0, 0)	(0.5, 0.5, 0.5, 0.0, 0.0, 0.0)	()	()	()	Improper
4	(0, 1, 2, 3)	(0, 1, 2, 3)	4-1	E.A.A	000000001111	15	False	True	False	False	False	False	False	6	6.0	1.0	2	4	5	0	10	0.2857142857142857	0.4444444444444444	1	0.25	2.9671278329882194	(0.5915063509461096-0.5915063509461097j)	0.8365163037378079	44.99999999999999	(0, 9, 10, 11)	(0, 1, 2, 3, 4, 5, 6, 7)	(4.0, 3.346065, 1.732051, 0.0, 1.0, 0.896575, 0.0)	(1, 1, 1, 9)	(3, 2, 1, 0, 0, 0)	(1.0, 0.6666666666666666, 0.25, 0.0, 0.0, 0.0)	()	(1.5,)	(3,)	Improper
2	(0, 4)	(0, 4)	2-4	C.D.A	000000010001	17	False	True	False	False	False	False	True	4	2.0	1.0	0	2	0	0	1	0	0.0	4	0.0	3.4641016151377544	(0.43301270189221935-0.2500000000000001j)	0.5000000000000001	59.999999999999986	(0, 8)	(0, 1, 2, 3, 4, 5, 6, 8, 9, 10)	(2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0)	(4, 8)	(0, 0, 0, 1, 0, 0)	(0.0, 0.0, 0.0, 1.0, 0.0, 0.0)	()	(2.0,)	(4,)	Strictly Proper
3	(0, 1, 4)	(0, 1, 4)	3-3A	D.C.A	000000010011	19	False	False	False	True	False	False	False	5	4.666666666666667	1.0	0	3	1	0	6	0.0	0.0	None	0.31698729810778065	3.663902460147014	(0.45534180126147955-0.45534180126147966j)	0.6439505508593789	44.99999999999999	(0, 8, 11)	(0, 1, 2, 3, 4, 5, 6, 8, 9)	(3.0, 1.931852, 1.0, 2.236068, 1.732051, 0.517638, 1.0)	(1, 3, 8)	(1, 0, 1, 1, 0, 0)	(0.5, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0)	()	()	()	Improper
3	(0, 2, 4)	(0, 2, 4)	3-6	D.D.A	000000010101	21	False	True	False	False	False	False	False	6	4.0	1.0	0	3	1	0	4	0.0	0.33333333333333337	2	0.43301270189221924	3.732050807568877	(0.5773502691896257-0.3333333333333334j)	0.6666666666666667	59.999999999999986	(0, 8, 10)	(0, 1, 2, 3, 4, 5, 6, 8, 10)	(3.0, 2.0, 0.0, 1.0, 0.0, 2.0, 3.0)	(2, 2, 8)	(0, 2, 0, 1, 0, 0)	(0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.0)	()	(2.0,)	(4,)	Improper
4	(0, 1, 2, 4)	(0, 1, 2, 4)	4-2A	E.B.A	000000010111	23	False	False	False	True	False	False	False	7	5.5	0.6666666666666667	1	4	5	2	16	0.0	0.11111111111111116	None	0.49999999999999994	3.76732698797896	(0.5580127018922193-0.46650635094610976j)	0.7273282277941024	50.10390936101709	(0, 8, 10, 11)	(0, 1, 2, 3, 4, 5, 6, 8)	(4.0, 2.909313, 1.0, 1.414214, 1.0, 1.239314, 2.0)	(1, 1, 2, 8)	(2, 2, 1, 1, 0, 0)	(0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.0, 0.0)	()	()	()	Improper
3	(0, 3, 4)	(0, 1, 4)	3-3A	D.C.A	000000011001	25	False	False	False	True	False	False	False	7	4.666666666666667	1.0	0	3	1	0	6	0.0	0.0	None	0.31698729810778065	3.6639024601470136	(0.6220084679281462-0.16666666666666674j)	0.6439505508593789	75.0	(0, 8, 9)	(0, 1, 2, 3, 4, 5, 6, 8, 9)	(3.0, 1.931852, 1.0, 2.236068, 1.732051, 0.517638, 1.0)	(3, 1, 8)	(1, 0, 1, 1, 0, 0)	(0.5, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0)	()	()	()	Improper
4	(0, 1, 3, 4)	(0, 1, 3, 4)	4-3	E.C.A	000000011011	27	False	False	False	False	False	False	False	8	5.0	1.0	0	4	5	0	14	0.2857142857142857	0.2222222222222222	None	0.49999999999999983	3.76732698797896	(0.5915063509461097-0.34150635094610976j)	0.6830127018922194	60.0	(0, 8, 9, 11)	(0, 1, 2, 3, 4, 5, 6, 9)	(4.0, 2.732051, 0.0, 2.0, 2.0, 0.732051, 0.0)	(1, 2, 1, 8)	(2, 1, 2, 1, 0, 0)	(0.6666666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.0)	()	(2.0,)	(4,)	Improper
4	(0, 2, 3, 4)	(0, 1, 2, 4)	4-2A	E.B.A	000000011101	29	False	False	False	True	False	False	False	9	5.5	0.6666666666666667	1	4	5	2	16	0.0	0.11111111111111116	None	0.5	3.76732698797896	(0.6830127018922193-0.25000000000000006j)	0.7273282277941024	69.8960906389829	(0, 8, 9, 10)	(0, 1, 2, 3, 4, 5, 6, 8)	(4.0, 2.909313, 1.0, 1.414214, 1.0, 1.239314, 2.0)	(2, 1, 1, 8)	(2, 2, 1, 1, 0, 0)	(0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.0, 0.0)	()	()	()	Improper
5	(0, 1, 2, 3, 4)	(0, 1, 2, 3, 4)	5-1	F.A.A	000000011111	31	False	True	False	False	False	False	False	10	5.6	1.0	3	5	15	0	20	0.4	0.5	1	0.5669872981077806	3.802603168389043	(0.6464101615137754-0.3732050807568878j)	0.7464101615137754	59.999999999999986	(0, 8, 9, 10, 11)	(0, 1, 2, 3, 4, 5, 6)	(5.0, 3.732051, 1.0, 1.0, 1.0, 0.267949, 1.0)	(1, 1, 1, 1, 8)	(4, 3, 2, 1, 0, 0)	(1.0, 0.75, 0.5, 0.0, 0.0, 0.0)	()	(2.0,)	(4,)	Improper
2	(0, 5)	(0, 5)	2-5	C.E.A	000000100001	33	False	True	False	False	False	False	True	5	1.0	1.0	0	1	0	0	1	0	0.0	5	0.0	3.8637033051562737	(0.24999999999999997-0.06698729810778065j)	0.25881904510252074	75.0	(0, 7)	(0, 1, 2, 3, 4, 5, 7, 8, 9, 10)	(2.0, 0.517638, 1.732051, 1.414214, 1.0, 1.931852, 0.0)	(5, 7)	(0, 0, 0, 0, 1, 0)	(0.0, 0.0, 0.0, 0.0, 1.0, 0.0)	()	(2.5,)	(5,)	Strictly Proper
3	(0, 1, 5)	(0, 1, 5)	3-4A	D.D.B	000000100011	35	False	False	False	True	False	False	False	6	4.0	1.0	0	2	1	0	6	0.0	0.0	None	0.4330127018922193	4.1815405503520555	(0.3333333333333333-0.3333333333333333j)	0.4714045207910317	45.0	(0, 7, 11)	(0, 1, 2, 3, 4, 5, 7, 8, 9)	(3.0, 1.414214, 2.0, 2.236068, 0.0, 1.414214, 1.0)	(1, 4, 7)	(1, 0, 0, 1, 1, 0)	(0.5, 0.0, 0.0, 0.3333333333333333, 0.5, 0.0)	()	()	()	Improper
3	(0, 2, 5)	(0, 2, 5)	3-7A	D.E.A	000000100101	37	False	False	False	True	False	False	False	7	3.3333333333333335	1.0	0	2	1	0	6	0.0	0.0	None	0.6830127018922193	4.346065214951231	(0.45534180126147955-0.2113248654051871j)	0.5019903930500754	65.1039093610171	(0, 7, 10)	(0, 1, 2, 3, 4, 5, 7, 8, 10)	(3.0, 1.505971, 1.0, 1.0, 1.732051, 2.39417, 1.0)	(2, 3, 7)	(0, 1, 1, 0, 1, 0)	(0.0, 0.5, 0.5, 0.0, 0.5, 0.0)	()	()	()	Improper
4	(0, 1, 2, 5)	(0, 1, 2, 5)	4-4A	E.C.B	000000100111	39	False	False	False	True	False	False	False	8	5.0	1.0	1	3	7	0	16	0.0	0.11111111111111116	None	0.75	4.381341395361314	(0.46650635094610965-0.375j)	0.5985425427428319	51.20602311300311	(0, 7, 10, 11)	(0, 1, 2, 3, 4, 5, 7, 8)	(4.0, 2.39417, 1.732051, 2.0, 1.0, 1.505971, 0.0)	(1, 1, 3, 7)	(2, 1, 1, 1, 1, 0)	(0.6666666666666666, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.0)	()	()	()	Improper
3	(0, 3, 5)	(0, 2, 5)	3-7A	D.E.A	000000101001	41	False	False	False	True	False	False	False	8	3.3333333333333335	1.0	0	2	1	0	6	0.0	0.0	None	0.6830127018922194	4.346065214951231	(0.5-0.04465819873852043j)	0.5019903930500754	84.8960906389829	(0, 7, 9)	(0, 1, 2, 3, 4, 5, 7, 8, 10)	(3.0, 1.505971, 1.0, 1.0, 1.732051, 2.39417, 1.0)	(3, 2, 7)	(0, 1, 1, 0, 1, 0)	(0.0, 0.5, 0.5, 0.0, 0.5, 0.0)	()	()	()	Improper
